playerID,homeAway,Name,Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,InitPlayerName,InitPlayerID,Away?
1683,Away,Joe Ingles,SG/SF,Joe Ingles,5000,Uta@Sac 10:30PM ET,17.216,Uta,Rudy Gobert,25858,@Uta
2191,Away,Derrick Favors,PF/C,Derrick Favors,5000,Uta@Sac 10:30PM ET,22.027,Uta,Khris Middleton,4294,@Uta
24287,Home,Willie Cauley-Stein,PF/C,Willie Cauley-Stein,5000,Uta@Sac 10:30PM ET,15.854,Sac,T.J. Warren,24292,@Sac
7108,Home,Cory Joseph,PG,Cory Joseph,5000,Cha@Tor 07:30PM ET,19.198,Tor,Enes Kanter,9273,@Tor
24275,Home,Marcus Smart,PG/SG,Marcus Smart,4900,Mil@Bos 07:30PM ET,25.609,Bos,Julius Randle,24301,@Bos
2187,Home,JaMychal Green,PF,JaMychal Green,4900,Ind@Mem 08:00PM ET,22.066,Mem,Andre Drummond,24241,@Mem
24239,Home,Jonas Valanciunas,C,Jonas Valanciunas,4900,Cha@Tor 07:30PM ET,26.979,Tor,Wesley Matthews,1653,@Tor
24685,Home,Jahlil Okafor,C,Jahlil Okafor,4800,Atl@Phi 07:00PM ET,21.45,Phi,Tyler Johnson,23365,@Phi
100,Home,P.J. Tucker,SF/PF,P.J. Tucker,4800,Cha@Tor 07:30PM ET,19.541,Tor,Otto Porter,24181,@Tor
9290,Away,Michael Kidd-Gilchrist,SF,Michael Kidd-Gilchrist,4800,Cha@Tor 07:30PM ET,24.024,Cha,Sean Kilpatrick,4347,@Cha
27993,Away,Steven Adams,C,Steven Adams,4700,OKC@Orl 07:00PM ET,26.504,OKC,Bojan Bogdanovic,9740,@OKC
160,Away,Joe Johnson,SF,Joe Johnson,4700,Uta@Sac 10:30PM ET,16.825,Uta,Markieff Morris,4191,@Uta
10776,Away,Willie Reed,C,Willie Reed,4700,Mia@NY 07:30PM ET,13.528,Mia,Dirk Nowitzki,308,@Mia
9740,Away,Bojan Bogdanovic,SG/SF,Bojan Bogdanovic,4700,Was@LAC 10:30PM ET,21.986,Was,Clint Capela,28284,@Was
391,Home,Tony Allen,SG/SF,Tony Allen,4600,Ind@Mem 08:00PM ET,21.727,Mem,DeAndre Jordan,802,@Mem
1637,Home,Darren Collison,PG,Darren Collison,4600,Uta@Sac 10:30PM ET,25.023,Sac,Dwight Howard,376,@Sac
24165,Away,Rodney Hood,SG,Rodney Hood,4600,Uta@Sac 10:30PM ET,21.755,Uta,Rodney Hood,24165,@Uta
777,Home,Courtney Lee,SG,Courtney Lee,4600,Mia@NY 07:30PM ET,21.152,NY,Will Barton,9269,@NY
129,Away,Monta Ellis,SG,Monta Ellis,4500,Ind@Mem 08:00PM ET,19.073,Ind,Jeremy Lin,10168,@Ind
24340,Home,Bismack Biyombo,C,Bismack Biyombo,4500,OKC@Orl 07:00PM ET,18.788,Orl,Seth Curry,4873,@Orl
379,Away,Andre Iguodala,SG,Andre Iguodala,4500,GS@SA 09:30PM ET,20.29,GS,Aaron Gordon,24308,@GS
757,Away,Michael Beasley,SF/PF,Michael Beasley,4400,Mil@Bos 07:30PM ET,17.03,Mil,Ersan Ilyasova,128,@Mil
28798,Home,Shawn Long,C,Shawn Long,4400,Atl@Phi 07:00PM ET,18.528,Phi,Jordan Crawford,4441,@Phi
6653,Home,Solomon Hill,SF,Solomon Hill,4400,Dal@NO 08:00PM ET,17.045,NO,Robert Covington,11707,@NO
76,Home,J.J. Redick,SG,J.J. Redick,4400,Was@LAC 10:30PM ET,21.827,LAC,,,@LAC
41,Away,Thaddeus Young,PF,Thaddeus Young,4300,Ind@Mem 08:00PM ET,23.95,Ind,Elfrid Payton,31736,@Ind
86,Away,Thabo Sefolosha,SG/SF,Thabo Sefolosha,4300,Atl@Phi 07:00PM ET,19.567,Atl,Jonas Valanciunas,24239,@Atl
298,Away,J.J. Barea,PG/SG,J.J. Barea,4300,Dal@NO 08:00PM ET,22.268,Dal,Greg Monroe,2178,@Dal
145,Away,Marcin Gortat,C,Marcin Gortat,4300,Was@LAC 10:30PM ET,28.976,Was,Pau Gasol,515,@Was
8330,Home,Kelly Olynyk,PF/C,Kelly Olynyk,4200,Mil@Bos 07:30PM ET,19.761,Bos,Trevor Ariza,398,@Bos
147,Home,Amir Johnson,PF,Amir Johnson,4200,Mil@Bos 07:30PM ET,17.37,Bos,Allen Crabbe,9300,@Bos
42074,Home,Skal Labissiere,PF,Skal Labissiere,4200,Uta@Sac 10:30PM ET,15.35,Sac,Justise Winslow,30323,@Sac
24263,Away,Yogi Ferrell,PG,Yogi Ferrell,4200,Dal@NO 08:00PM ET,20.412,Dal,Jamal Crawford,162,@Dal
1622,Away,Taj Gibson,PF,Taj Gibson,4100,OKC@Orl 07:00PM ET,22.82,OKC,Thaddeus Young,41,@OKC
1601,Home,Tyreke Evans,SG/SF,Tyreke Evans,4100,Uta@Sac 10:30PM ET,21.646,Sac,James Johnson,1604,@Sac
26608,Home,Nik Stauskas,SG,Nik Stauskas,4100,Atl@Phi 07:00PM ET,17.965,Phi,Steven Adams,27993,@Phi
1612,Home,Ty Lawson,PG,Ty Lawson,4000,Uta@Sac 10:30PM ET,21.015,Sac,Kyle Korver,478,@Sac
18858,Away,Kent Bazemore,SG/SF,Kent Bazemore,4000,Atl@Phi 07:00PM ET,22.097,Atl,Kent Bazemore,18858,@Atl
4441,Home,Jordan Crawford,SG,Jordan Crawford,4000,Dal@NO 08:00PM ET,22.114,NO,Emmanuel Mudiay,24680,@NO
9291,Home,Austin Rivers,PG/SG,Austin Rivers,4000,Was@LAC 10:30PM ET,20.671,LAC,Terrence Ross,9339,@LAC
48,Away,Marco Belinelli,SG/SF,Marco Belinelli,4000,Cha@Tor 07:30PM ET,18.228,Cha,Terrence Jones,7109,@Cha
268,Home,Tony Parker,PG,Tony Parker,4000,GS@SA 09:30PM ET,20.082,SA,Dario Saric,24342,@SA
1632,Home,Patty Mills,PG,Patty Mills,4000,GS@SA 09:30PM ET,19.552,SA,Marvin Williams,59,@SA
22374,Away,Tony Snell,SG/SF,Tony Snell,3900,Mil@Bos 07:30PM ET,16.59,Mil,Nikola Mirotic,9276,@Mil
275,Home,Vince Carter,SF,Vince Carter,3900,Ind@Mem 08:00PM ET,17.492,Mem,Ricky Rubio,1599,@Mem
1948,Home,Lance Thomas,PF,Lance Thomas,3900,Mia@NY 07:30PM ET,12.283,NY,Frank Kaminsky,28751,@NY
162,Home,Jamal Crawford,SG,Jamal Crawford,3900,Was@LAC 10:30PM ET,20.163,LAC,Austin Rivers,9291,@LAC
505,Away,Matt Barnes,SF/PF,Matt Barnes,3900,GS@SA 09:30PM ET,19.914,GS,Maurice Harkless,24180,@GS
771,Home,Marreese Speights,PF/C,Marreese Speights,3800,Was@LAC 10:30PM ET,17.867,LAC,Josh Richardson,28787,@LAC
52544,Home,Jaylen Brown,SG/SF,Jaylen Brown,3700,Mil@Bos 07:30PM ET,12.575,Bos,Ryan Anderson,776,@Bos
23283,Away,Andre Roberson,SF,Andre Roberson,3700,OKC@Orl 07:00PM ET,18.866,OKC,Deron Williams,60,@OKC
9419,Away,Shelvin Mack,PG,Shelvin Mack,3700,Uta@Sac 10:30PM ET,15.005,Uta,Jerryd Bayless,765,@Uta
9729,Home,Mindaugas Kuzminskas,SF,Mindaugas Kuzminskas,3700,Mia@NY 07:30PM ET,10.996,NY,Marcin Gortat,145,@NY
85,Home,Sergio Rodriguez,PG,Sergio Rodriguez,3700,Atl@Phi 07:00PM ET,19.607,Phi,Kenneth Faried,2303,@Phi
3977,Home,Tim Frazier,PG,Tim Frazier,3700,Dal@NO 08:00PM ET,20.233,NO,Trevor Booker,3685,@NO
51,Away,Jason Smith,PF/C,Jason Smith,3700,Was@LAC 10:30PM ET,12.39,Was,Ty Lawson,1612,@Was
24195,Home,Norman Powell,SG/SF,Norman Powell,3700,Cha@Tor 07:30PM ET,14.557,Tor,Taj Gibson,1622,@Tor
1631,Home,DeMarre Carroll,SF,DeMarre Carroll,3700,Cha@Tor 07:30PM ET,19.332,Tor,Mason Plumlee,2214,@Tor
164,Home,David Lee,PF/C,David Lee,3700,GS@SA 09:30PM ET,18.053,SA,Jahlil Okafor,24685,@SA
125,Away,C.J. Miles,SG/SF,C.J. Miles,3600,Ind@Mem 08:00PM ET,18.086,Ind,Cody Zeller,24152,@Ind
1757,Home,Garrett Temple,SG/SF,Garrett Temple,3600,Uta@Sac 10:30PM ET,18.32,Sac,J.J. Barea,298,@Sac
4518,Away,Jeff Withey,C,Jeff Withey,3600,Uta@Sac 10:30PM ET,7.364,Uta,Tony Parker,268,@Uta
56842,Home,Delon Wright,PG/SG,Delon Wright,3600,Cha@Tor 07:30PM ET,14.224,Tor,Courtney Lee,777,@Tor
266,Home,Manu Ginobili,SG,Manu Ginobili,3600,GS@SA 09:30PM ET,17.48,SA,Richaun Holmes,42932,@SA
