playerID,homeAway,name,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,FanduelNumber,InitPlayerName,InitPlayerID,AtTeam
28991,Away,Dewayne Dedmon,18721-16301,C,Dewayne,Dewayne Dedmon,Dedmon,15.64799967,75,3500,SA@UTA,SA,UTA,,,16301,Maurice Ndour,57363,@SA
5962,Home,Festus Ezeli,18721-16331,C,Festus,Festus Ezeli,Ezeli,16.91304348,46,3500,NO@POR,POR,NO,O,Knee,16331,Kyle Anderson,24265,@POR
24687,Home,Wayne Selden Jr.,18721-49115,SG,Wayne,Wayne Selden Jr.,Selden Jr.,7.692307692,13,3500,DAL@MEM,MEM,DAL,,,49115,Kevon Looney,41494,@MEM
28956,Away,Darrun Hilliard,18721-16348,SG,Darrun,Darrun Hilliard,Hilliard,5.436842266,38,3500,DET@ORL,DET,ORL,,,16348,James McAdoo,9304,@DET
33381,Home,Domas Sabonis,18721-59358,PF,Domantas,Domantas Sabonis,Sabonis,12.475,80,3500,DEN@OKC,OKC,DEN,,,59358,Raulzinho Neto,24092,@OKC
44077,Home,Denzel Valentine,18721-24546,SG,Denzel,Denzel Valentine,Valentine,10.37142835,56,3500,BKN@CHI,CHI,BKN,,,24546,Jordan Mickey,28236,@CHI
23549,Away,Joe Harris,18721-16363,SG,Joe,Joe Harris,Harris,13.58461585,52,3500,BKN@CHI,BKN,CHI,O,Shoulder,16363,Gary Payton II,80992,@BKN
26756,Away,Stanley Johnson,18721-58350,SF,Stanley,Stanley Johnson,Johnson,10.6723681,76,3500,DET@ORL,DET,ORL,,,58350,Jake Layman,41248,@DET
24840,Home,Cristiano Felicio,18721-63478,C,Cristiano,Cristiano Felicio,Felicio,12.15230807,65,3500,BKN@CHI,CHI,BKN,,,63478,Briante Weber,31267,@CHI
,Away,,,,,,,,,,,,,,,#VALUE!,Andrew Bogut,58,@
,Away,,,,,,,,,,,,,,,#VALUE!,Marcelinho Huertas,2707,@
,Away,,,,,,,,,,,,,,,#VALUE!,Jared Sullinger,2375,@
,Away,,,,,,,,,,,,,,,#VALUE!,Okaro White,9344,@
,Away,,,,,,,,,,,,,,,#VALUE!,Fred VanVleet,44094,@
,Away,,,,,,,,,,,,,,,#VALUE!,Bryn Forbes,42884,@
,Away,,,,,,,,,,,,,,,#VALUE!,Rakeem Christmas,24156,@
,Away,,,,,,,,,,,,,,,#VALUE!,Tim Quarterman,56701,@
,Away,,,,,,,,,,,,,,,#VALUE!,Marshall Plumlee,24177,@
,Away,,,,,,,,,,,,,,,#VALUE!,Johnny O'Bryant,24170,@
,Away,,,,,,,,,,,,,,,#VALUE!,Bobby Brown,862,@
,Away,,,,,,,,,,,,,,,#VALUE!,Jarnell Stokes,24264,@
,Away,,,,,,,,,,,,,,,#VALUE!,Brice Johnson,24658,@
,Away,,,,,,,,,,,,,,,#VALUE!,DeAndre Liggins,5713,@
,Away,,,,,,,,,,,,,,,#VALUE!,Kyle Singler,2151,@
,Away,,,,,,,,,,,,,,,#VALUE!,Damjan Rudez,2912,@
,Away,,,,,,,,,,,,,,,#VALUE!,Nicolas Brussino,59353,@
,Away,,,,,,,,,,,,,,,#VALUE!,Alan Anderson,939,@
,Away,,,,,,,,,,,,,,,#VALUE!,Andrew Nicholson,10813,@
,Away,,,,,,,,,,,,,,,#VALUE!,Nick Collison,292,@
,Away,,,,,,,,,,,,,,,#VALUE!,DeAndre' Bembry,49891,@
,Away,,,,,,,,,,,,,,,#VALUE!,Henry Ellenson,54842,@
,Away,,,,,,,,,,,,,,,#VALUE!,James Young,24681,@
,Away,,,,,,,,,,,,,,,#VALUE!,Treveon Graham,31269,@
,Away,,,,,,,,,,,,,,,#VALUE!,Anderson Varejao,251,@
,Away,,,,,,,,,,,,,,,#VALUE!,Joel Bolomboy,45041,@
,Away,,,,,,,,,,,,,,,#VALUE!,Mike Miller,186,@
,Away,,,,,,,,,,,,,,,#VALUE!,John Jenkins,2377,@
,Away,,,,,,,,,,,,,,,#VALUE!,Kyle Wiltjer,24155,@
,Away,,,,,,,,,,,,,,,#VALUE!,Deyonta Davis,73162,@
,Away,,,,,,,,,,,,,,,#VALUE!,Jordan Hill,1603,@
,Away,,,,,,,,,,,,,,,#VALUE!,Alonzo Gee,1657,@
,Away,,,,,,,,,,,,,,,#VALUE!,Stephen Zimmerman Jr.,54846,@
,Away,,,,,,,,,,,,,,,#VALUE!,Cole Aldrich,2159,@
,Away,,,,,,,,,,,,,,,#VALUE!,Udonis Haslem,682,@
,Away,,,,,,,,,,,,,,,#VALUE!,Diamond Stone,41493,@
,Away,,,,,,,,,,,,,,,#VALUE!,Sheldon McClellan,24189,@
,Away,,,,,,,,,,,,,,,#VALUE!,Joel Anthony,789,@
,Away,,,,,,,,,,,,,,,#VALUE!,Georges Niang,42429,@
,Away,,,,,,,,,,,,,,,#VALUE!,Manny Harris,2279,@
,Away,,,,,,,,,,,,,,,#VALUE!,Daniel Ochefu,24260,@
,Away,,,,,,,,,,,,,,,#VALUE!,Ryan Kelly,2193,@
,Away,,,,,,,,,,,,,,,#VALUE!,Chris McCullough,41445,@
,Away,,,,,,,,,,,,,,,#VALUE!,Joe Young,22869,@
,Away,,,,,,,,,,,,,,,#VALUE!,Larry Sanders,2198,@
,Away,,,,,,,,,,,,,,,#VALUE!,Lamar Patterson,6235,@
,Away,,,,,,,,,,,,,,,#VALUE!,A.J. Hammons,24294,@
,Away,,,,,,,,,,,,,,,#VALUE!,Bruno Caboclo,59172,@
,Away,,,,,,,,,,,,,,,#VALUE!,Ronnie Price,886,@
,Away,,,,,,,,,,,,,,,#VALUE!,Cheick Diallo,49975,@
,Away,,,,,,,,,,,,,,,#VALUE!,C.J. Wilcox,6964,@
,Away,,,,,,,,,,,,,,,#VALUE!,Jarrett Jack,366,@
,Away,,,,,,,,,,,,,,,#VALUE!,Aaron Harrison,24309,@
,Away,,,,,,,,,,,,,,,#VALUE!,Danuel House,24662,@
,Away,,,,,,,,,,,,,,,#VALUE!,Arinze Onuaku,2316,@
,Away,,,,,,,,,,,,,,,#VALUE!,Michael Gbinije,24168,@
,Away,,,,,,,,,,,,,,,#VALUE!,John Lucas,361,@
,Away,,,,,,,,,,,,,,,#VALUE!,Isaiah Taylor,56862,@
,Away,,,,,,,,,,,,,,,#VALUE!,Axel Toupane,25855,@
,Away,,,,,,,,,,,,,,,#VALUE!,Steve Novak,97,@
,Away,,,,,,,,,,,,,,,#VALUE!,Ben Bentil,80300,@
,Away,,,,,,,,,,,,,,,#VALUE!,Gary Neal,10568,@
,Away,,,,,,,,,,,,,,,#VALUE!,Elijah Millsap,8158,@
,Away,,,,,,,,,,,,,,,#VALUE!,Patricio Garino,24744,@
,Away,,,,,,,,,,,,,,,#VALUE!,Georgios Papagiannis,32198,@
,Away,,,,,,,,,,,,,,,#VALUE!,Chris Bosh,451,@
,Away,,,,,,,,,,,,,,,#VALUE!,Festus Ezeli,5962,@
,Away,,,,,,,,,,,,,,,#VALUE!,,,@
,Away,,,,,,,,,,,,,,,#VALUE!,,,@
,Away,,,,,,,,,,,,,,,#VALUE!,,,@
,Away,,,,,,,,,,,,,,,#VALUE!,,,@
,Away,,,,,,,,,,,,,,,#VALUE!,,,@
,Away,,,,,,,,,,,,,,,#VALUE!,,,@
,Away,,,,,,,,,,,,,,,#VALUE!,,,@
,Away,,,,,,,,,,,,,,,#VALUE!,,,@
,Away,,,,,,,,,,,,,,,#VALUE!,,,@
,Away,,,,,,,,,,,,,,,#VALUE!,,,@
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
,Away,,,,,,,,,,,,,,,,,,
