playerID,homeAway,First Name Last Name,Id,First Name,Last Name,Position,Team,Opponent,Game,Time,Salary,FPPG,Injury Status,InitPlayerName,InitPlayerID,Away?
81056,Away,Wade Baldwin IV,nba.p.5648,Wade,Baldwin IV,PG,MEM,IND,IND@MEM,8:00PM EDT,10,8.2,,Nicolas Batum,782,@IND
73162,Away,Deyonta Davis,nba.p.5662,Deyonta,Davis,PF,MEM,IND,IND@MEM,8:00PM EDT,10,4.7,,Wilson Chandler,47,@IND
,Away,Wayne Selden Jr.,nba.p.5708,Wayne,Selden Jr.,SG,MEM,IND,IND@MEM,8:00PM EDT,10,6.1,,Myles Turner,52575,@IND
292,Home,Nick Collison,nba.p.3715,Nick,Collison,PF,OKC,ORL,OKC@ORL,7:00PM EDT,10,4.2,,J.J. Redick,76,@ORL
759,Home,Russell Westbrook,nba.p.4390,Russell,Westbrook,PG,OKC,ORL,OKC@ORL,7:00PM EDT,64,59.6,,Nikola Vucevic,6925,@ORL
1622,Home,Taj Gibson,nba.p.4631,Taj,Gibson,PF,OKC,ORL,OKC@ORL,7:00PM EDT,14,21.8,,Jeff Teague,1614,@ORL
9273,Home,Enes Kanter,nba.p.4899,Enes,Kanter,C,OKC,ORL,OKC@ORL,7:00PM EDT,19,24.7,,Reggie Jackson,3771,@ORL
15435,Home,Norris Cole,nba.p.4910,Norris,Cole,PG,OKC,ORL,OKC@ORL,7:00PM EDT,10,4.9,,Marcus Morris,4078,@ORL
2151,Home,Kyle Singler,nba.p.4915,Kyle,Singler,SG,OKC,ORL,OKC@ORL,7:00PM EDT,10,4,,Jordan Clarkson,22892,@ORL
22337,Home,Victor Oladipo,nba.p.5153,Victor,Oladipo,SG,OKC,ORL,OKC@ORL,7:00PM EDT,24,27.8,,Avery Bradley,2194,@ORL
27993,Home,Steven Adams,nba.p.5163,Steven,Adams,C,OKC,ORL,OKC@ORL,7:00PM EDT,17,24.9,,Zach Randolph,165,@ORL
23283,Home,Andre Roberson,nba.p.5196,Andre,Roberson,SF,OKC,ORL,OKC@ORL,7:00PM EDT,11,18.2,,Gary Harris,24252,@ORL
26575,Home,Alex Abrines,nba.p.5202,Alex,Abrines,SG,OKC,ORL,OKC@ORL,7:00PM EDT,10,9.8,,Serge Ibaka,779,@ORL
23478,Home,Doug McDermott,nba.p.5322,Doug,McDermott,SF,OKC,ORL,OKC@ORL,7:00PM EDT,10,14.6,,Darren Collison,1637,@ORL
23259,Home,Josh Huestis,nba.p.5340,Josh,Huestis,SF,OKC,ORL,OKC@ORL,7:00PM EDT,10,15.8,,Kentavious Caldwell-Pope,24162,@ORL
24661,Home,Jerami Grant,nba.p.5350,Jerami,Grant,SF,OKC,ORL,OKC@ORL,7:00PM EDT,10,11.9,,Al Horford,35,@ORL
26729,Home,Semaj Christon,nba.p.5366,Semaj,Christon,PG,OKC,ORL,OKC@ORL,7:00PM EDT,10,7.9,,Tim Hardaway Jr.,9386,@ORL
33381,Home,Domas Sabonis,nba.p.5642,Domantas,Sabonis,PF,OKC,ORL,OKC@ORL,7:00PM EDT,10,12.8,,Nick Young,234,@ORL
37,Away,Jeff Green,nba.p.4247,Jeff,Green,PF,ORL,OKC,OKC@ORL,7:00PM EDT,10,15.5,INJ,Jae Crowder,22407,@OKC
787,Away,C.J. Watson,nba.p.4354,C.J.,Watson,PG,ORL,OKC,OKC@ORL,7:00PM EDT,10,9.8,,Rudy Gobert,25858,@OKC
764,Away,D.J. Augustin,nba.p.4471,D.J.,Augustin,PG,ORL,OKC,OKC@ORL,7:00PM EDT,10,14.4,,Khris Middleton,4294,@OKC
1644,Away,Jodie Meeks,nba.p.4646,Jodie,Meeks,SG,ORL,OKC,OKC@ORL,7:00PM EDT,10,15.9,,T.J. Warren,24292,@OKC
24340,Away,Bismack Biyombo,nba.p.4888,Bismack,Biyombo,C,ORL,OKC,OKC@ORL,7:00PM EDT,10,17.6,,Enes Kanter,9273,@OKC
6925,Away,Nikola Vucevic,nba.p.4897,Nikola,Vucevic,C,ORL,OKC,OKC@ORL,7:00PM EDT,30,33.8,,Julius Randle,24301,@OKC
9339,Away,Terrence Ross,nba.p.5014,Terrence,Ross,SF,ORL,OKC,OKC@ORL,7:00PM EDT,16,18.7,,Andre Drummond,24241,@OKC
